CODE,Title,Year,Primary Objective,Secondary Objectives,Beneficiaries,Creative Approach,Financial Resources,Business Model,Human Resources,Entity Types,Competences,ICH Domain,ICH Elements,Data Source,Data Type,Capturing Technologies,Representation Technologies,Digitization Output,Dissemination Technologies,Fruition Output
11,GPT-4 for Icelandic Language,2023,"[""Community empowerment"",""Knowledge transfer"",""Preservation"",""Representativeness in digital world"",""Revitalization""]","[""Linguistic preservation"",""Cultural representation"",""Community engagement""]","[""Policy makers"",""Local communities"",""Private companies""]","[""Glocalization"",""Participation""]","[""Public-Private Partnership""]","[""Free Access Model""]","[""Product Management and Language Support Tools Developer"",""Linguistic specialist"",""Linguistic specialist"",""Digital Product Developer""]","[""Icelandic software company specialized in Language Technology"",""Public Foundation, Icelandic Language Technology Center"",""AI Research Organization"",""Islandic people"",""National Governmental Agency""]","[""Deep Neural Networks"",""AI tool implementation"",""Computational Statistics"",""Entrepreneurship"",""Machine learning"",""Research and data analysis"",""Language and style checking"",""Machine translation"",""Reinforcement learning"",""Speech recognition"",""Speech synthesis""]","[""Oral traditions and expressions""]","[""Cultural identity"",""Oral history"",""Linguistics"",""Languages"",""Local languages"",""Spoken Languages""]","[""Icelandic grammar resources"",""Books""]","[""Text""]","[""OCR"",""Text editing software""]","[""NLP - Natural Language Processing"",""Machine learning""]","[""Trained LLM (with basic knoledge of Icelandic language, albeit with errors)""]","[""Generative AI"",""LLM"",""Machine Learning (Reinforcement Learning from Human Feedback)""]","[""Conversational agent"",""Participatory initiative""]"
12,Ichpedia,2010,"[""Documentation"",""Preservation"",""Visibility and reputation"",""Accessibility"",""Community empowerment""]","[""International collaboration"",""Community engagement"",""Educational outreach""]","[""ICH Specialists"",""General public"",""ICH Specialists"",""General public""]","[""Participation""]","[""Publicly Funded""]","[""Free Access Model""]","[""Archaeologist"",""Researcher"",""Cultural Anthropologist"",""Software Developers"",""Folklorist"",""Korean Literature Expert / Literary Editor"",""Sociologist"",""Digital Heritage Information Scientist"",""Historian""]","[""Governmental Agency"",""Research Center for Intangible Cultural Heritage (ICH)""]","[""Archaeology"",""Computer Engineering"",""Cultural Anthropology"",""Folklore Studies"",""Korean Literature"",""Digital curation"",""Historical research"",""Image engineering"",""Japanese literature"",""Sociology"",""Wood Applied Science""]","[""Individual and collective memory""]","[""History"",""Cultural identity"",""Memory"",""Collective memory""]","[""Local communities"",""Korean ICH documentation"",""Oral histories"",""Photos""]","[""Text"",""Object/artefact"",""Pictures"",""Metadata""]","[""Annotation system"",""2D image acquisition technologies""]","[""Database technologies""]","[""System for inventorying ICH"",""Digitized archive of Korean ICH""]","[""Wiki-based platform"",""Web platform""]","[""Participatory initiative"",""Digital archive""]"
13,MODAS: Sas Boghes da sos Singers a Tenor,2023,"[""Promotion"",""Celebration"",""Preservation""]","[""Community engagement"",""Educational outreach"",""Linguistic preservation""]","[""Tradition bearers"",""Local authorities"",""Local communities""]","[""Glocalization"",""Storytelling"",""Participation""]","[""Publicly Funded""]","[""Free Access Model""]","[""Executive Producer"",""Cultural Network Coordinator"",""Technical-Scientific Coordinator"",""Audio Recordings, Mixing and Mastering Specialist"",""Copywriter"",""Sound Designer""]","[""Cultural Association"",""Regional Cultural Organization""]","[""Audio / Sound post-production (mixing & mastering)"",""Creative project leadership"",""Community and stakeholder engagement"",""Scriptwriting and narrative adaptation""]","[""Performing arts"",""Oral traditions and expressions""]","[""Throat singing"",""Polyphonic singing"",""Vocal music"",""Spoken Languages"",""Dialects"",""Instrumental music"",""Poetry"",""Dance"",""Wedding"",""Work songs"",""Pastoralism"",""Everyday life"",""Sheep"",""Island""]","[""Oral knowledge"",""ICH live performance"",""Sardinian canto a tenore songs""]","[""Audio""]","[""Audio recording""]","[""Audio processing technologies""]","[""Digitized audio recordings of interviews and songs""]","[""Audio streaming platforms""]","[""Podcast""]"
14,Camino Al Mictlan NFT,2021,"[""Celebration"",""Preservation"",""Economic sustainability"",""Community empowerment""]","[""Community engagement"",""Cultural representation"",""Educational outreach"",""Economic sustainability""]","[""Virtual Tourists and avatars"",""Indigenous communities"",""Creators""]","[""Participation"",""Virtualization""]","[""Hybrid Funding Model""]","[""Community Contributions"",""NFT Sales""]","[""Digital/Visual Artist"",""Video and Sound Artist"",""Filmmaker and Visual Artist""]","[""VJ"",""Artistic collective"",""Digital Artists"",""Visual Artist"",""Soundmaker""]","[""AI/AR/VR development and integration for immersive experience"",""Digital illustration and visual asset creation"",""Visual storytelling""]","[""Social practices, rituals and festive events""]","[""Religious practice"",""Festivals"",""Family"",""Flowers"",""Veneration of the dead"",""Rituals"",""Religous syncretism"",""Harvesting"",""Handicrafts"",""Food preparation""]","[""Oral traditions"",""Day of the Dead symbols"",""Cultural artifacts and costumes""]","[""Pictures"",""Object/artefact""]","[""NA""]","[""3D modeling software""]","[""Digital environments"",""3D models of virtual altars"",""Wearable assets for avatars""]","[""VR"",""Web3 technologies"",""Blockchain and NFT technologies""]","[""Digital assets"",""Participatory initiative"",""ICH-inspired artefact"",""Dedicated virtual events""]"
15,Whispering table,2009,"[""Edutainment"",""Celebration"",""Fostering intercultural dialogue""]","[""Cultural representation"",""Interactive engagement""]","[""General public"",""Museums""]","[""Materialization"",""Animation"",""Storytelling""]","[""Publicly Funded""]","[""Free Access Model""]","[""Project Manager"",""Creative Director""]","[""Design studio"",""Museum""]","[""Creative ideation and concept development"",""Narrative and cultural content curation"",""Sound installation"",""UX / UI Design""]","[""Social practices, rituals and festive events""]","[""Religion"",""Food"",""Food customs""]","[""Oral narratives"",""Cultural culinary traditions""]","[""Audio""]","[""Audio recording"",""Microphones""]","[""Audio processing technologies"",""Multimedia development engines""]","[""Digitized audio recordings of conversations on culture and food traditions""]","[""Sensors"",""Microcontroller"",""Motion-activated system"",""Microphones"",""Wireless technologies""]","[""Interactive exhibition""]"
16,History Blocks,2019,"[""Preservation"",""Edutainment""]","[""Edutainment"",""Global outreach""]","[""Students"",""Teachers"",""Schools""]","[""Virtualization"",""Participation"",""Facilitation""]","[""Public-Private Partnership""]","[""Free Access Model""]","[""Creative Director"",""Sound Designer"",""Producer"",""Music Composer"",""Video editor"",""Copywriter"",""Educational consultant""]","[""Creative Agency"",""School"",""International educational, scientific and cultural organization"",""Edutainment game platform"",""production company"",""Music / sound production company"",""Post-production company""]","[""Art direction"",""Copywriting and script editing"",""Music and sound production"",""Post-Production""]","[""Knowledge and practices concerning nature and the universe""]","[""Monuments"",""Destroyed and endangered heritage""]","[""Archaeological documentation of destroyed monuments"",""Middle Eastern architectural heritage data"",""technical documentation""]","[""Pictures"",""Templates and Measures""]","[""2D image acquisition technologies"",""Annotation system""]","[""Minecraft 3D modeling tools""]","[""Pre-built 3D Minecraft monument templates and re-building instructions""]","[""Web platform""]","[""Digital tools"",""Digital campaign"",""Digital assets"",""Participatory initiative""]"
17,Odeuropa Smell Explorer,2020-2023,"[""Accessibility"",""Stakeholders connection"",""Recognition"",""Documentation"",""Preservation""]","[""Cultural engagement"",""Educational outreach""]","[""ICH Specialists"",""General public"",""Artists"",""Researchers and Scholars"",""Perfumers""]","[""Virtualization"",""Institutionalization""]","[""Publicly Funded""]","[""Free Access Model""]","[""Policy maker"",""Funding & Partnerships referent"",""Semantic web specialist"",""Cultural History expert""]","[""Slovenian Scientific Research Institute"",""Foundation and Research Centre"",""European Engineering School and Research Laboratory"",""Educational Institution / Research University"",""Research Center & Cluster"",""Educational Institution / Research University""]","[""Aroma and smell research"",""Computer vision"",""Data collection"",""Historical research"",""Language technology and digital humanities"",""Natural language processing and olfactory taxonomies"",""Scientific documentation and preservation of Olfactory Heritage"",""Scientific documentation and preservation of Olfactory Heritage""]","[""Social practices, rituals and festive events"",""Traditional craftsmanship""]","[""Fragrance"",""Smell"",""Scent""]","[""technical documentation"",""Scientific articles"",""Historical texts"",""Historical images""]","[""Text"",""Pictures""]","[""OCR Systems"",""2D image acquisition technologies"",""Annotation system""]","[""Machine learning"",""Computer vision"",""Semantic web standards"",""Database technologies"",""AI techniques for text-analysis""]","[""European Olfactory Knowledge Graph"",""Annotated smell-related data""]","[""Machine Learning"",""Web platform"",""Artificial Intelligence""]","[""Digital archive"",""Digital tools""]"
18,Polifonia Portal,2021-2024,"[""Preservation"",""Open resource creation"",""Enhancement"",""Accessibility"",""Documentation""]","[""Interdisciplinary collaboration"",""Educational outreach""]","[""Memory institutions"",""Educators"",""Enthusiasts"",""Musicians"",""ICH Curious"",""Researchers and Scholars""]","[""Institutionalization"",""Virtualization""]","[""Publicly Funded""]","[""Free Access Model""]","[""Digital Archivist"",""Music Historian"",""Assistant Professor"",""Researcher"",""Researcher"",""Research Engineer in Musicology"",""Expert in Semantic Web Technologies"",""Etnoanthropologist"",""Visual Anthropologist and Web Developer"",""Expert in Information Retrieval, Data Mining, and Graphs"",""Data Engineer / Archive Metadata"",""Expert in Knowledge Engineering / Semantic Web Technologies"",""User Interface Engineer"",""Expert in Communication / Management / New media"",""Social Media Manager""]","[""Cultural archive and museum"",""Research center"",""French National center for scientific research"",""Scientific, cultural and profesisonal academic institution"",""National Governmental Agency"",""Educational Institution / Research University"",""Socienty of scholars, national scientific institutes"",""Web agency""]","[""Community and stakeholder engagement"",""Digital musicology"",""Knowledge graph technologies / infrastructures"",""Knowledge graphs / Web Data Querying"",""Knowledge graphs and linked data"",""Music analysis""]","[""Social practices, rituals and festive events""]","[""Historical manuscripts"",""Documents"",""Recordings"",""Historical sources""]","[""Music recordings"",""Archival documents"",""Historical manuscripts""]","[""Text"",""Metadata"",""Audio-visual""]","[""Annotation system"",""Audio recording""]","[""Database technologies"",""Semantic web standards"",""Audio processing technologies""]","[""Curated metadata collections"",""Database of musical heritage""]","[""Data mining technologies"",""Machine Learning"",""Natural Language Processing"",""Web platform""]","[""Digital tools"",""Digital archive""]"
19,TRACTION Opera co-creation for a social transformation,2022,"[""Democratization"",""Open resource creation"",""Accessibility"",""Stakeholders connection"",""Remix and reinterpretation"",""Social inclusion""]","[""Cultural accessibility"",""Community empowerment""]","[""Artists"",""Non-professional artists"",""Marginalized communities"",""General public"",""Local residents"",""Younger generations"",""Elderlies"",""Audiences in non-traditional cultural settings (e.g., prisons, rural areas, schools)""]","[""Remix"",""Participation""]","[""Publicly Funded""]","[""Free Access Model""]","[""Community Engagement Manager"",""Opera heritage expert"",""Opera heritage expert"",""Theatre General Director"",""Social and Artistic Coordinator"",""VR/AR Developer"",""Interactive Systems Developers"",""Singers"",""Non-professional Dancers""]","[""AI / Visual computing and interaction technological center"",""Art school"",""Opera company"",""Communuty and participatory art"",""AR/VR technology company"",""Technology-driven research institute"",""Educational Institution / Research University""]","[""Costume knowledge"",""Graphic design"",""Participatory digital workflow production"",""Photography"",""Storytelling""]","[""Performing arts""]","[""Apprenticeship"",""Dance"",""Vocal music"",""Poetry"",""Instrumental music""]","[""Community interactions"",""ICH live performances"",""Cultural practitioners' contributions""]","[""Video"",""Audio""]","[""Video recording"",""Audio recording""]","[""Multimedia processing and production technologies""]","[""Structured community-generated content"",""Audio-video recordings of opera performances""]","[""Cloud technologies"",""Participatory digital workflow production system""]","[""Dedicated virtual events"",""Digital tools"",""Immersive live performance"",""Dedicated physical events"",""Participatory initiative""]"
20,Paderpedia,2020,"[""Preservation"",""Documentation"",""Lost/Endangered/Undocumented Recovery"",""Promotion""]","[""Edutainment"",""Citizen science""]","[""Younger generations"",""Students"",""Schools"",""Environmental educators"",""Local residents"",""Amateur historians"",""Enthusiasts"",""Civic associations""]","[""Participation"",""Virtualization""]","[""Publicly Funded""]","[""Free Access Model""]","[""Metadata Specialist"",""Historian"",""Database Manager / Information Scientist"",""Digital Archivist""]","[""Archive"",""Local government / public administration"",""Educational Institution / Research University"",""Library""]","[""Data archiving and retrieval systems"",""Database & information management"",""Metadata structuring and organization""]","[""Social practices, rituals and festive events"",""Individual and collective memory""]","[""Community action"",""Rivers""]","[""Multimedia resources & photographies"",""Literature database"",""Historical maps"",""Local citizen contributions""]","[""Metadata"",""Pictures"",""Text""]","[""Annotation system"",""2D image acquisition technologies"",""GPS technologies""]","[""Database technologies"",""Archival systems""]","[""Database of structured historical and ecological data""]","[""Web platform"",""Wiki-based platform""]","[""Digital archive""]"
